"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2791841,"December 31, 2023",Missouri,"Saint Louis","7800 block of Germania Ave",0,1,0,0,0,N/A
2793394,"December 31, 2023",Mississippi,Clarksdale,"7th St and Leflore Ave",1,0,0,0,1,N/A
2791821,"December 31, 2023",Missouri,"Kansas City","107th St and Oakland Ave",1,0,0,0,0,N/A
2793904,"December 31, 2023",Washington,"Tacoma (Parkland)","14117 C St S",0,1,0,0,0,N/A
2791638,"December 31, 2023",Texas,Houston,"6000 block of Clarewood Dr",1,0,0,0,2,N/A
2791530,"December 31, 2023",Washington,Auburn,"29000 block of S 55th Pl",0,2,0,0,0,N/A
2791352,"December 31, 2023",Michigan,Wyoming,"355 54th St SW",0,2,0,0,1,N/A
2792658,"December 31, 2023","South Carolina",Loris,"Main St and Bryant St",0,1,0,0,1,N/A
2793585,"December 31, 2023",Virginia,"Virginia Beach","5266 Princess Anne Rd",0,1,0,0,0,N/A
2790744,"December 31, 2023",Arizona,Phoenix,"16th St and Thomas Rd",0,1,0,0,0,N/A
2791772,"December 31, 2023","North Carolina",Charlotte,"E W.T. Harris Blvd and Milton Rd",0,1,0,0,0,N/A
2790763,"December 31, 2023",Wisconsin,Milwaukee,"N 49th St and W Villard Ave",0,1,0,0,0,N/A
2791769,"December 31, 2023","North Carolina",Charlotte,"McAllister Dr and Beatties Ford Rd",0,1,0,0,0,N/A
2791726,"December 31, 2023",Illinois,Champaign,"2400 block of N Neil St",0,1,0,0,0,N/A
2793000,"December 31, 2023",Louisiana,"Pointe Coupee (county)",N/A,1,3,0,0,1,N/A
2790750,"December 31, 2023",Minnesota,"Saint Paul","1201 Jackson St",0,1,0,0,0,N/A
2791732,"December 31, 2023",Louisiana,Rayne,"1000 block of Lyman Ave",1,0,0,0,2,N/A
2791711,"December 31, 2023",Pennsylvania,"Clifton Heights","S Church St and W Madison Ave",1,0,0,0,0,N/A
2797925,"December 31, 2023",California,Perris,"1700 block of Glenview Dr",1,0,0,0,1,N/A
2790738,"December 31, 2023","North Carolina",Laurinburg,"700 block of West Blvd",1,0,0,0,1,N/A
2799267,"December 31, 2023",Louisiana,Amite,"300 block of S First St",0,1,0,0,0,N/A
2791869,"December 31, 2023",Colorado,Denver,"2001 Colorado Blvd",0,0,0,1,1,N/A
2791338,"December 31, 2023",Maryland,"Capitol Heights","1400 block of Dunbar Oaks Dr",1,0,0,0,2,N/A
2790820,"December 31, 2023","New York",Brooklyn,"3250 Coney Island Ave",0,1,0,0,1,N/A
2790717,"December 31, 2023",Georgia,Atlanta,"University Ave SW",0,1,0,0,0,N/A
2791605,"December 31, 2023",Florida,Cottondale,"Mimosa Ln",0,0,1,0,0,N/A
2791595,"December 31, 2023",Florida,Wimauma,"5802 FL-674",0,2,0,0,0,N/A
2792588,"December 31, 2023",Texas,Brownsville,"3000 block of Clavel St",1,0,0,0,0,N/A
2791525,"December 31, 2023",Florida,Titusville,"1202 Prairie Ln",0,3,0,0,0,N/A
2790704,"December 31, 2023","North Carolina",Raleigh,"1400 block of Stovall Dr",0,2,0,0,0,N/A
2791571,"December 31, 2023",Arizona,Phoenix,"15th Ave and Mulberry Dr",0,1,0,0,1,N/A
2792586,"December 31, 2023",Nevada,"Las Vegas","3000 block of Solento Ln",1,0,0,0,0,N/A
2791830,"December 31, 2023",Missouri,Troy,"Dodson Rd",1,0,0,0,0,N/A
2791554,"December 31, 2023",Florida,Jacksonville,"4600 block of Wrico Dr",0,1,0,0,0,N/A
2791744,"December 31, 2023",Louisiana,Westwego,"945 Beechgrove Blvd",1,0,0,0,0,N/A
2791545,"December 31, 2023",Florida,Ocala,"2200 block of SW 19th Ave Rd",0,0,1,0,0,N/A
2790881,"December 31, 2023",California,"Santa Clarita","25700 block of Vista Fairways Dr",1,0,0,0,0,N/A
2791521,"December 31, 2023",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2791264,"December 31, 2023","New York","Middle Island","208 Artist Lake Dr",1,0,0,0,1,N/A
2791514,"December 31, 2023",Maryland,Baltimore,"5300 block of Frankford Ave",0,2,0,0,0,N/A
2791489,"December 31, 2023",Arizona,Phoenix,"7th St and Dobbins Rd",0,1,0,0,0,N/A
2791422,"December 31, 2023",Illinois,Chicago,"1600 block of W Foster Ave",0,1,0,0,1,N/A
2791985,"December 31, 2023",California,Encino,"5250 Encino Ave",0,1,0,0,1,N/A
2791479,"December 31, 2023",California,Hayward,"Sueirro St and Skywest Dr",1,0,0,0,0,N/A
2793405,"December 31, 2023",Louisiana,"New Orleans","5500 block of Samovar Dr",0,1,0,0,0,N/A
2792483,"December 31, 2023",Florida,Palmetto,I-75,0,1,0,0,0,N/A
2795134,"December 31, 2023",Louisiana,Alexandria,"2200 block of W Sycamore St",0,1,0,0,3,N/A
2791453,"December 31, 2023",Illinois,Chicago,"800 block of S Damen Ave",0,1,0,0,0,N/A
2791677,"December 31, 2023",Louisiana,Alexandria,"2200 block of E Sycamore St",1,0,0,0,1,N/A
2791694,"December 31, 2023",Nevada,"North Las Vegas","2800 block of Taylor Ave",0,0,1,0,0,N/A
2791624,"December 31, 2023",Idaho,"Idaho Falls","400 block of G St",0,1,0,0,1,N/A
2791547,"December 31, 2023",Arkansas,"Little Rock","8801 Baseline Rd",0,0,1,0,0,N/A
2790617,"December 31, 2023",Illinois,Chicago,"1200 block of W Newport Ave",0,1,0,0,0,N/A
2790721,"December 31, 2023",Colorado,Pueblo,"1300 block of E 14th St",1,0,0,0,0,N/A
2791424,"December 31, 2023",Illinois,Chicago,"8500 block of S Laflin St",0,1,0,0,0,N/A
2790585,"December 31, 2023",Florida,Orlando,"Tradeport Dr and McCoy Rd",0,3,0,0,0,N/A
2790576,"December 31, 2023",Illinois,Chicago,"1800 block of S Bishop St",0,1,0,0,0,N/A
2790572,"December 31, 2023",Illinois,Chicago,"11800 block of S Eggleston Ave",0,1,0,0,0,N/A
2791445,"December 31, 2023",California,Madera,"300 block of E 14th St",1,0,0,0,0,N/A
2791979,"December 31, 2023",Indiana,Indianapolis,"5100 block of Sandy Forge Dr",0,1,0,0,0,N/A
2792338,"December 31, 2023",Tennessee,Nashville,"1000 block of Cheyenne Blvd",0,1,0,0,0,N/A
2791334,"December 31, 2023",Connecticut,"Vernon Rockville (Vernon)","65 Windsor Ave",0,2,0,0,0,N/A
2792362,"December 31, 2023","New Jersey",Ramsey,"101 Williams St",1,0,0,0,1,N/A
2791190,"December 31, 2023","New Jersey",Newark,"100 block of Malvern St",1,0,0,0,0,N/A
2793338,"December 31, 2023",Ohio,Warren,"2592 Elm Rd NE",0,1,0,0,0,N/A
2791358,"December 31, 2023",Alabama,Birmingham,"1609 Sixth St N",0,2,0,0,0,N/A
2790910,"December 31, 2023",Wisconsin,Milwaukee,"N 51st Blvd and W Keefe Ave",0,1,0,0,0,N/A
2791455,"December 31, 2023",California,"Santa Fe Springs","I-5 and Carmenita Rd",0,1,0,0,0,N/A
2791355,"December 31, 2023",Wisconsin,Milwaukee,"N 35th St and W Silver Spring Dr",0,1,0,0,0,N/A
2791350,"December 31, 2023",Michigan,Detroit,"6300 block of Floyd Ave",1,0,0,0,0,N/A
2790807,"December 31, 2023",Connecticut,"New Britain","North St and Clark St",1,2,0,0,1,N/A
2792140,"December 31, 2023",Ohio,Cincinnati,"1700 block of Casey Dr",0,1,0,0,1,N/A
